allocated_mib,latency_ms
5,1.02
10,0.88
15,0.95
20,0.95
25,1.23
30,0.95
35,0.99
40,0.91
45,1.52
50,1.57
55,0.91
60,0.85
65,0.92
70,0.85
75,0.82
80,1.26
85,0.84
90,0.84
95,0.91
100,1.33
105,0.88
110,0.94
115,0.87
120,0.79
125,0.79
130,0.70
135,0.73
140,0.76
145,0.69
150,0.62
155,0.89
160,0.63
165,0.80
170,0.64
175,0.62
180,0.58
185,0.63
190,0.62
195,0.59
200,0.68
205,0.62
210,0.63
215,0.64
220,0.64
225,0.60
230,0.71
235,0.61
240,0.63
245,0.65
250,0.62
255,0.88
260,0.77
265,0.65
270,0.68
275,1.05
280,0.76
285,0.65
290,0.71
295,0.69
300,0.68
305,0.72
310,0.68
315,0.64
320,0.71
325,0.67
330,0.68
335,0.70
340,0.69
345,0.73
350,0.74
355,0.63
360,0.65
365,0.71
370,0.69
375,0.66
380,0.70
385,0.69
390,0.68
395,1.28
400,0.69
405,0.67
410,0.72
415,0.66
420,0.72
425,0.68
430,0.70
435,0.73
440,0.68
445,0.72
450,0.66
455,0.71
460,0.67
465,0.68
470,1.19
475,1.30
480,1.61
485,0.90
490,109.92
495,238.97
500,335.93
505,1022.73
