allocated_mib,latency_ms
5,0.68
10,0.58
15,0.57
20,0.54
25,0.58
30,0.57
35,0.60
40,0.62
45,0.60
50,0.77
55,0.67
60,0.65
65,0.66
70,0.67
75,0.66
80,0.64
85,0.70
90,0.65
95,0.76
100,0.79
105,0.67
110,0.67
115,0.72
120,0.76
125,0.73
130,0.70
135,0.74
140,0.70
145,0.67
150,0.70
155,0.66
160,0.68
165,0.63
170,0.65
175,0.72
180,0.66
185,0.65
190,0.71
195,0.73
200,0.68
205,0.62
210,0.65
215,0.62
220,0.61
225,0.77
230,1.14
235,0.70
240,0.67
245,0.60
250,0.68
255,0.67
260,0.66
265,0.67
270,0.72
275,0.67
280,0.65
285,0.67
290,0.60
295,0.69
300,0.65
305,0.62
310,0.59
315,1.14
320,0.66
325,0.72
330,0.68
335,0.71
340,0.70
345,0.66
350,0.70
355,0.62
360,0.66
365,0.73
370,0.65
375,0.69
380,0.65
385,0.67
390,0.65
395,0.62
400,0.63
405,0.64
410,0.66
415,0.63
420,0.62
425,0.64
430,0.62
435,0.61
440,0.63
445,0.64
450,0.78
455,100.20
